"","x"
"402","Yandex N.V. (; Russian: <U+042F><U+043D><U+0434><U+0435><U+043A><U+0441>, IPA: ['jand<U+0259>ks]) is a Russian multinational corporation specializing in Internet-related products and services, including search and information services, eCommerce, transportation, navigation, mobile applications, and online advertising. Yandex provides over 70 services in total.
Incorporated in the Netherlands, Yandex primarily serves audiences in Russia and the Commonwealth of Independent States. The company founders and most of the team members are located in Russia. The company has 18 commercial offices worldwide.It is the largest technology company in Russia and the largest search engine on the internet in Russian, with a market share of over 52%. The Yandex.ru home page is the 4th most popular website in Russia. It also has the largest market share of any search engine in the Commonwealth of Independent States and is the 5th largest search engine worldwide after Google, Baidu, Bing, and Yahoo!.
Yandex's main competitors on the Russian market are Google, Mail.ru, and Rambler.
According to the company, one of its biggest advantages for Russian-language users is the ability to recognize Russian inflection in search queries.Yandex has invested in companies including Vizi Labs, Face.com, Blekko, Seismotech, Multiship, SalesPredict, and Doc+."
"403","YRC Worldwide Inc. is an American holding company of freight shipping brands YRC Freight, YRC Reimer, New Penn, Holland and Reddaway. YRC Worldwide has a comprehensive network in North America, and offers shipping of industrial, commercial and retail goods. The company is headquartered in Overland Park, Kansas."
"404","Materialise, headquartered in Leuven, Belgium, is active in the field of additive manufacturing, also known as 3D Printing. Materialise NV is one of the largest and most long-established independent companies in the 3D printing / additive manufacturing sector.
The company was founded in July 1990 by Fried (Wilfried) Vancraen, and his wife Hilde Ingelaere in Leuven, Belgium, where its global headquarters are situated today. Materialise operates worldwide with offices, software centres and/or direct manufacturing centers situated in various countries across five continents, providing 3D printing and additive manufacturing services, 3D printing-specific software solutions and medical software, application development and fulfilment."
"405","Spectrum Pharmaceuticals is an American biopharmaceutical company. The company is located in Irvine, California."
"406","FireEye is a public cybersecurity company headquartered in Milpitas, California. It provides hardware, software, and services to investigate cybersecurity attacks, protect against malicious software, and analyze IT security risks. FireEye was founded in 2004. Initially, it focused on developing virtual machines that would download and test internet traffic before transferring it to a corporate or government network. The company diversified over time, in part through acquisitions. In 2014, it acquired Mandiant, which provides incident response services following the identification of a security breach. FireEye went public in 2013. USAToday says FireEye ""has been called in to investigate high-profile attacks against Target, JP Morgan Chase, Sony Pictures, Anthem and others"". Yahoo Finance says FireEye is again the fastest-growing cyber security firm, according to Deloitte."
"407","CBB Bancorp, Inc. operates as the holding company for Commonwealth Business Bank that provides commercial and personal banking services in the United States. CBB Bank has eight retail branches in California and Texas. It is one of five major Korean American banks in the United States."
"408","Bebe Stores, Inc. (stylized as ""bebe stores, inc.""; pronunciation: ) is a women's retail brand that was established in 1976. The brand develops and produces a line of women's apparel, accessories, and perfume fragrances, which it markets under the ""bebe"" or ""Bebe Sport"" or ""Bebe Outlet"" names.
On April 21, 2017, bebe announced it would close its remaining 168 brick-and-mortar locations to sell products online as web sales."
"409","AMC Networks Inc. is an American entertainment company headquartered in 11 Penn Plaza, New York, that owns and operates the cable channels AMC (its eponymous brand), IFC, We TV, BBC America (through a joint venture with BBC Studios), and SundanceTV; the art house movie theater IFC Center in New York City; the independent film company IFC Films; and premium streaming services Sundance Now and Shudder. In addition, the company operates AMC Networks International, its global division.
The company was originally launched in 1980 and formerly known as Rainbow Media Holdings, LLC, a subsidiary of Cablevision, but was spun off as a publicly traded company in July 2011. The company is majority-owned and controlled by the Dolan family."
"410","Antenna Products Corporation (NASDAQ: ANTP) is an international communication equipment manufacturer and distributor worldwide. Its products include antennas, tower, masts and relevant communication equipment. Its subsidiary, Antenna Products Corp, is a global manufacture with ISO 9001:2008 certification."
"411","DocuSign is an American company headquartered in San Francisco, California that helps organizations connect and automate how they prepare, sign, act on, and manage agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature, a way to sign electronically on practically any device, from almost anywhere, at any time. Today, more than 475,000 customers and hundreds of millions of users in over 180 countries use DocuSign to accelerate the process of doing business and to simplify people's lives.  Signatures processed by DocuSign are compliant with the US ESIGN Act and the European Union’s Electronic Signatures Directive (1999/93/EC).In April 2018, DocuSign filed for an initial public offering. At the time of the IPO, the largest shareholders were venture investment firms Sigma Partners, Ignition Partners, Frazier Technology Ventures, and former CEO Keith Krach was the largest individual shareholder. None of the original founders, or current CEO Daniel Springer, are major shareholders. The company went public on the NASDAQ on April 27, 2018."
"412","Sabre Corporation is a travel technology company based in Southlake, Texas. It is the largest Global Distribution Systems provider for air bookings in North America. American Airlines founded the company in 1960, and it was spun off in 2000. Texas Pacific Group and Silver Lake Partners acquired Sabre in 2007. Sabre began publicly trading on the NASDAQ in 2014.Sabre Hospitality Solutions, an IT solutions provider, is the company's largest growing division."
"413","Aixtron SE is a German-based European technology company, which specialises in manufacturing metalorganic chemical vapour deposition (MOCVD) equipment, for clients in the semiconductor industry. The company's shares are listed on the Frankfurt Stock Exchange. AIXTRON is a constituent of the SDAX and TecDAX index."
"414","Compugen Ltd. (Hebrew: <U+05E7><U+05D5><U+05DE><U+05E4><U+05D9><U+05D5><U+05D2>'<U+05DF><U+200E>) is a clinical-stage publicly traded predictive drug discovery and development company headquartered in Israel, with shares traded on the NASDAQ Capital Market and on the Tel Aviv Stock Exchange. Compugen was established as computational drug discovery service provider in 1993. Compugen originally acted as service provider for pharma companies, supplying its software and computational services to predict different types of biological phenomena. It had arrangements with big pharmas such as Novaris AG, Abbot Laboratories and Pfizer Inc. Subsequently, Compugen made a decision to become a drug development company with its own internal pipeline, and in 2010 decided to a focus on oncology and immunology. OncoMed Pharmaceuticals and Five Prime Therapeutics are among Compugen's competitors."
"415","Quidel Corporation (Nasdaq: QDEL) is a major American manufacturer of diagnostic healthcare products that are sold worldwide."
"416","Tucows Inc. is a publicly traded Internet services and telecommunications company, headquartered in Toronto, Ontario, Canada, and incorporated in Pennsylvania, United States. It is currently the third-largest domain registrar worldwide and operates Hover, eNom, and OpenSRS, a platform for domain resellers.  In 2012, Tucows launched Ting, a wireless service provider and fiber Internet provider, and continues to operate its namesake directory of shareware and freeware software downloads.
The company was formed in Flint, Michigan, United States, in 1993. The Tucows logo is two cow heads, a play on the homophone ""two cows""."
"417","Founded in 1998,  ChinaCache is a provider of Internet content and application delivery services in China. Through its 3-tier Internet ecosystem, ChinaCache also offers Internet data center management, Internet Exchange operations and cloud hosting services. ChinaCache's network is interconnected with those operated by the three dominating telecom carriers (China Mobile, China Unicom, China Telecom) and local Internet service providers in China.
The company is headquartered in Beijing, China, with offices in Sunnyvale, CA, Diamond Bar, CA, London, UK, and Hong Kong. In 2017, ChinaCache received National CDN License from the Chinese government."
"418","Real Goods Solar Inc. OTCQX: RGSE is a publicly traded residential solar power integrator doing business as RGS Energy. The company established its roots as a provider of sustainable lifestyle products through its retail division, dating back to 1978, when it sold some of the first retail solar panels in the United States. The company now has customers in all 50 American states and all 10 Canadian provinces."
"419","Blackhawk Network Holdings Inc. is a privately held company that operates in the prepaid, gift card and payments industries. It supports solutions, technology, management and distribution of branded value such as gift cards, telecom and financial service products. Blackhawk's network reaches people through a number of different channels including in-store, online, mobile, and incentive. Blackhawk is headquartered in Pleasanton, California and was incorporated in 2006.The company began by selling gift cards through Safeway stores in 2001 and then expanded to other partners in the United States. The Nordstrom gift card was one of the first items launched by the group. The company grew dramatically over the following years by expanding content, channels and markets through organic growth and acquisition. This included the acquisition of the German startup Retailo and the purchase of Parago Inc. for $290 million. In 2013, the company filed for a $200 million IPO on NASDAQ. In 2014, Safeway divested the rest of its Blackhawk Network shares to make Blackhawk a fully independent company."
"420","Imperva is a cyber security software and services company which provides protection to enterprise data and application software. The company is headquartered in Redwood Shores, California."
"421","NIC Inc. (NASDAQ: EGOV) is a digital government service provider for federal, state and local governments in the United States. It was founded in 1992 and is headquartered in Olathe, Kansas. Harry H. Herington serves as the Chief Executive Officer and Chairman of the Board. As Digital Government provider, NIC Inc. has long-term contracts with over 3,500 state and local government and federal agencies to provide the IT software, services, and payment processing solutions. In 2013, Forbes listed it as one of America’s Best Small Companies. On February 24, 2014, The company's pre-employment screening program (PSP) customer service team was awarded a Bronze Stevie Award for supporting for the U.S. Department of Transportation Federal Motor Carrier Safety Administration (FMCSA)."
"422","Independent Bank is a bank headquartered in Grand Rapids, Michigan. The bank has 82 branches, all of which are in rural and suburban Michigan."
"423","UTStarcom is a global telecom infrastructure provider headquartered in Hong Kong. The company develops and supplies a broad range of telecommunication devices to communications service providers and network operators including fixed and mobile network operators, as well as to enterprises. Historically, the company has focused on selling to China but also sell to Africa, India, Central and Latin America and the Middle East.The Company's products are designed to work with existing telecommunications infrastructure to provide low-cost voice and data services for access to both wireless (Wi-Fi) and fixed line) products, optimized for mobile backhaul, metro aggregation, broadband access and Wi-Fi data. As of 2015, the company focuses on two core areas: broadband and next-generation networks (NGN).
The company's headquarters are in Beijing, China with other business and R&D centers located in Japan, South Korea, India, the Middle East and Europe."
"424","Intersect ENT (NASDAQ: XENT) is a publicly traded health care equipment company based in Menlo Park, California. It manufactures drug-delivery devices used by Ear, Nose & Throat (ENT) clinicians in the treatment of sinusitis. Intersect ENT is best known for developing the first bioabsorbable drug-eluting sinus stent PROPEL, which delivers anti-inflammatory medication directly to the sinuses. The company holds over 20 issued patents in the United States and more than 80 patents and patent applications worldwide. The company was named on the Forbes list of America's Most Promising Companies and was also on the Fierce 15 list of Most Promising Companies in 2013."
"425","Catabasis Pharmaceuticals, founded in 2008 and based in Cambridge, Massachusetts, is a clinical-stage biopharmaceutical company. At Catabasis Pharmaceuticals, the company’s mission is to bring hope and life-changing therapies to patients and their families. Their lead program is edasalonexent, an NF-kB inhibitor in development for the treatment of Duchenne muscular dystrophy. The global Phase 3 PolarisDMD trial for edasalonexent is enrolling boys affected by Duchenne [1]. 
In Catabasis’s Phase 2 MoveDMD clinical trial and open-label extension, edasalonexent was shown to preserve muscle function as assessed by the North Star Ambulatory Assessment and Timed Function Tests compared with the rate of change during an off-treatment control period. It also showed a significant decrease in CRP, muscle enzymes including CK, and decrease in heart rate to age-normative values [2]. 


== References =="
"426","CECO Environmental is a company founded in 1966 and is now based in Dallas, Texas. CECO is a global leader in air quality and fluid handling in regions around the world providing innovative technology and application expertise to customers across a variety of industries including aquariums, asphalt manufacturing, automotive manufacturing, cement manufacturing, chemical product manufacturing, colleges and universities, food manufacturing, furniture manufacturing, gas pipeline transportation, gypsum product manufacturing, marine parks, metal plating, mining and quarrying, paint manufacturing, paper manufacturing, petrochemical, petroleum refining, pharmaceutical and biotechnology, plastics and rubber product manufacturing, power, metal manufacturing, printing, semiconductor and circuit manufacturing, sewage treatment facilities, ship building, solar panel manufacturing, textile mills, water supply and irrigation, and wood product manufacturing, among others.   As of early 2019,  the company operates 19 brands in the fluid handling, energy, and industrial solutions segments."
"427","Everspin Technologies is a public semiconductor company headquartered in Chandler, Arizona, United States.  It develops and manufactures discrete magnetoresistive RAM or magnetoresistive random-access memory (MRAM) products, including Toggle MRAM and Spin-Transfer Torque MRAM (STT-MRAM) product families.  It also licenses its technology for use in embedded MRAM (eMRAM) applications, magnetic sensor applications as well as performs backend foundry services for eMRAM.   
MRAM has the performance characteristics close to static random-access memory (SRAM) while also having the persistence of non-volatile memory, meaning that it will not lose its charge or data if power is removed from the system. This characteristic makes MRAM suitable for a large number of applications where persistence, performance, endurance and reliability are critical."
"428","Nexstar Media Group is a publicly traded American telecommunications company headquartered in Irving, Texas. The company is the second-largest television station owner in the United States (after Sinclair Broadcast Group), owning 171 television stations across the U.S., most of which are affiliates with the four ""major"" U.S. television networks located in small to medium-sized markets. It also operates all of the stations owned by an affiliated company, Mission Broadcasting, under local marketing agreements."
"429","Xcel Energy Inc. is a utility holding company based in Minneapolis, Minnesota, serving more than 3.3 million electric customers and 1.8 million natural gas customers in Minnesota, Michigan, Wisconsin, North Dakota, South Dakota, Colorado, Texas and New Mexico in 2017. It consists of four operating subsidiaries: Northern States Power-Minnesota, Northern States Power-Wisconsin, Public Service Company of Colorado, and Southwestern Public Service Co.In December 2018 Xcel announced it would deliver 100 percent clean, carbon-free electricity by 2050, with an 80 percent carbon reduction by 2035 (from 2005 levels). This makes Xcel the first major US utility to set such a goal."
"430","First Internet Bancorp is a bank holding company that operates First Internet Bank of Indiana, sometimes called First Internet Bank or First IB, one of the first state-chartered, Federal Deposit Insurance Corporation-insured institutions to operate without physical branches.
The bank was founded in 1997 by entrepreneur David B. Becker, incorporated on October 28, 1998, and opened to the public on February 22, 1999. It is engaged primarily in online retail banking and investment in securities. Services include interest-bearing checking accounts, regular and money market savings accounts, certificates of deposit, individual retirement accounts, credit cards, and check cards. The bank also offers personal lines of credit, installment loans, real-time transfers between accounts, and the ability to display checking, savings and loan information on a single screen.
The bank has a strong reputation for outstanding personal service via telephone. This attracts many new customers.
First IB is a privately capitalized institution with over 300 private and corporate investors. On March 21, 2006, the bank consummated a Plan of Exchange by which the bank became a wholly owned subsidiary of First Internet Bancorp, a single-bank holding company."
"431","ReWalk is a commercial bionic walking assistance system that uses powered leg attachments to enable paraplegics to stand upright, walk and climb stairs. The system is powered by a backpack battery, and is controlled by a simple wrist-mounted remote which detects and enhances the user's movements. Designed in Yokneam, Israel, by Amit Goffer, the ReWalk is marketed by ReWalk Robotics Ltd (originally Argo Medical Technologies Ltd), and is priced at approximately US$85,000 per unit.The device underwent clinical trials at MossRehab in suburban Philadelphia. In July 2014, ReWalk Robotics filed for an American initial public offering that could raise up to US$58 million. The company is listed on the NASDAQ stock exchange under the symbol ""RWLK""."
"432","Vicor Corporation, headquartered in Andover, Massachusetts, designs, manufactures and markets modular power components."
"433","Groupon is an American worldwide e-commerce marketplace connecting subscribers with local merchants by offering activities, travel, goods and services in 15 countries. Based in Chicago, Groupon was launched in November 2008, and the first market for Groupon was Chicago, followed soon thereafter by Boston, New York City and Toronto. By October 2010, Groupon was available in 150 cities in North America and 100 cities in Europe, Asia and South America, and had 35 million registered users. By the end of March 2015, Groupon served more than 500 cities worldwide, nearly 48.1 million active customers and featured more than 425,000 active deals globally in 48 countries.The idea for Groupon was created by now-ousted CEO and Pittsburgh native Andrew Mason. The idea gained the attention of his former employer, Eric Lefkofsky, who provided $1 million in ""seed money"" to develop the idea. In April 2010, the company was valued at $1.35 billion. According to a December 2010 report conducted by Groupon's marketing association and reported in Forbes magazine and the Wall Street Journal, Groupon was ""projecting that the company is on pace to make $1 billion in sales faster than any other business, ever.""In its first earnings release as a public company, Groupon reported a 2011 fourth-quarter loss of $9.8 million on an adjusted basis, disappointing investors. Additional investor concerns arose after the company restated 2011 revenues downward in March 2012."
"434","As of March 31, 2019, First Busey Corporation (NASDAQ: BUSE) was a $9.54 billion financial holding company headquartered in Champaign, Illinois.
Busey Bank, a wholly owned bank subsidiary with total assets of $7.73 billion as of March 31, 2019, is headquartered in Champaign, Illinois, and has forty-four banking centers serving Illinois, thirteen banking centers in the St. Louis, Missouri metropolitan area, five banking centers serving southwest Florida and a banking center in Indianapolis, Indiana.  Through the Busey Wealth Management division, the Company provides asset management, investment and fiduciary services to individuals, businesses and foundations. As of March 31, 2019, assets under care were approximately $7.30 billion. Busey Bank owns a retail payment processing subsidiary, FirsTech, Inc., which processes approximately 28 million transactions per year using online bill payment, lockbox processing and walk-in payments at its 4,000 agent locations in 43 states.  More information about FirsTech, Inc. can be found at firstechpayments.com.
Busey Bank was named among Forbes’ 2018 Best-In-State Banks—one of five in Illinois and 124 from across the country, equivalent to 2.2% of all banks. Best-In-State Banks are awarded for exceptional customer experiences as determined by a survey sample of 25,000+ banking customers who rated banks on trust, terms and conditions, branch services, digital services and financial advice.
TheBANK of Edwardsville, a wholly owned bank subsidiary of the Company with total assets of $1.81 billion as of March 31, 2019, is headquartered in Edwardsville, Illinois, and has nineteen banking centers and one loan production office in the greater St. Louis, MO-IL MSA.  Through TheBANK of Edwardsville Wealth Management division, the Company provides asset management, investment and fiduciary services to individuals, businesses and foundations.  As of March 31, 2019, assets under care were approximately $1.59 billion."
"435","iQiyi (Chinese: <U+7231><U+5947><U+827A>), formerly Qiyi (Chinese: <U+5947><U+827A>), is an online video platform based in Beijing, China launched on April 22, 2010. iQiyi is currently one of the largest online video sites in the world, with nearly 6 billion hours spent on its service each month, and over 500 million monthly active users. On March 29, 2018, the company issued its IPO (initial public offering) in the U.S. and raised $2.25 billion."
"436","The First Trust Clean Edge Green Energy ETF (NASDAQ: QCLN) is an exchange-traded fund (ETF) that contains only US companies that produce or distribute clean energy.  It is listed in the United States on the NASDAQ stock exchange and managed by First Trust Advisors L.P.
The Fund is an equity index that tracks the performance of clean energy companies that are publicly traded in the US and is based on the NASDAQ Clean Edge U.S. Liquid Series Index (Symbol: CELS)."
"437","Westell Technologies, Inc. is an Aurora, Illinois company that provides telecommunications equipment for in-building wireless, intelligent site management, cell site optimization, and outside plant solutions. Westell was the last company to manufacture DSL modems in the United States; however, on May 21, 2007, Westell announced plans to outsource manufacturing."
"438","Ceres, Inc. is a biotechnology company based in Thousand Oaks, California, United States. The company develops and produces seeds of genetically modified crops used for biofuel production.  In addition its operations in the United States, Ceres has a subsidiary in Brazil called Ceres Sementes do Brasil."
"439","The Eastern Company (NASDAQ:EML) was set up in 1858 and now is headquartered in Naugatuck, Connecticut. The company operates in three segments: Industrial Hardware; Security Products; Metal Products. As of November, 2013 the company owns four main subsidiaries namely Eberhard Hardware Manufacturing Ltd. (Canada); Sesamee Mexicana (Mexico); World Lock Co. Ltd. (Taiwan); World Security Industries Co. Ltd. (Hong Kong)."
"440","Cirrus Logic Inc. is a fabless semiconductor supplier that specializes in analog, mixed-signal, and audio DSP integrated circuits (ICs).   Since 1998, the company's headquarters have been in Austin, Texas. The company's audio processors and audio converters feature in audio and consumer entertainment products, including smartphones, tablets, digital headsets, automotive entertainment systems, home-theater receivers, and smart home applications, such as smart speakers. 
Dr. Suhas Patil founded the company as ""Patil Systems, Inc."" in Salt Lake City in 1981; it adopted the name ""Cirrus Logic"" when it moved to Silicon Valley in 1984.
Cirrus Logic has nearly 3,000 patents issued and pending."
"441","Analog Devices, Inc., also known as ADI or Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Norwood, Massachusetts. In 2012, Analog Devices led the worldwide data converter market with a 48.5% share, according to analyst firm Databeans.The company manufactures analog, mixed-signal and digital signal processing (DSP) integrated circuits (ICs) used in electronic equipment. These technologies are used to convert, condition and process real-world phenomena, such as light, sound, temperature, motion, and pressure into electrical signals.Analog Devices has approximately 100,000 customers in the following industries: communications, computer, industrial, instrumentation, military/aerospace, automotive, and consumer electronics applications."
"442","Dexcom, Inc. is a company that develops, manufactures and distributes continuous glucose monitoring systems for diabetes management. It operates internationally with headquarters in San Diego, California, United States."
"443","Luna Innovations Incorporated is a company that develops and manufactures products for the medical, telecommunications, energy and defence markets. It is headquartered in Roanoke, Virginia.  Luna's products are used to measure, monitor, protect and improve processes to enhance the safety, security, and connectivity of people.
Luna Technologies is a division of Luna Innovations specializing in Luna-branded products for fibre optic testing of components, modules and networks, as well as integrated optics and distributed sensing solutions. Their fibre optic test and measurement devices include optical analyzers, reflectometers, tunable lasers, optical switches and customized systems for strain, temperature, shape and position sensing.
Luna's nanoWorks Division is developing nanomedicines for diagnostic and therapeutic applications using Luna's exclusive carbon nanomaterials, including the Trimetasphere.
Luna's Technology Development Division works with major government agencies on technology development in these four core areas: sensors and systems (fiber optics and ultrasonics); health sciences; and advanced materials including corrosion inhibitors, self-cleaning and self-healing coatings, impact indicators, flame retardant additives and nanomaterials; and secure computing using hardware-based anti-tamper technologies.
Luna Innovations was founded by an electrical engineering professor at Virginia Tech and was originally headquartered in Blacksburg, Virginia.  It moved its headquarters to Roanoke in September 2006. Luna Innovations has four locations across Virginia: Blacksburg, Roanoke, Danville, and Charlottesville, as well as locations in Ann Arbor, Michigan; Atlanta, Georgia; and Chino, California.
Two companies developed from Luna Innovations have been sold to other companies.  Luna Energy, which developed pipeline monitoring sensors for the oil and gas industry, was acquired by oilfield services firm Baker Hughes.  Luna i-Monitoring, which developed a suite of integrated wireless sensors for remote monitoring for the oil and gas industry, was acquired by IHS Energy.
Also of note is that Luna recently acquired both Micron Optics, Inc. and General Photonics, Inc., thus increasing its available products and patents for future products.
Luna Innovations had an initial public offering in June 2006 with the NASDAQ trading symbol LUNA."
"444","GTx, Inc is a pharmaceutical company that is working on drugs in the selective estrogen receptor modulator (SERM) and selective androgen receptor modulator (SARM) classes. Its drugs in development include enobosarm (ostarine) and GTx-758.
The company was founded in Memphis in 1997 by Mitch Steiner and Marc S. Hanover.  The company was originally called Genotherapeutics, changed its name to GTx, Inc. in 2001, and reincorporated in Delaware in 2003. The company licensed toremifene from Orion Corporation, and licensed andarine, enobosarm and prostarine from the University of Tennessee Research Foundation; the SARM compounds from Tennessee had been invented by Karen Veverka and Michael Whitt and each later joined the company.  The company held its IPO in February 2004.In 2006 GTx signed a partnership with Ipsen to develop toremifene, a selective estrogen receptor modulatorm to prevent prostate cancer and to prevent bone loss in men with prostate cancer; the FDA rejected the application to market the drug for this use in 2009, and Ipsen terminated the arrangement in 2011. In 2012 GTx sold its rights to toremifene to ProStrakan, a subsidiary of Kyowa Hakko Kirin, for around $19 million, and terminated its agreement with Orion.By 2007 enobosarm was in a Phase II trial, and that year Gtx signed an exclusive license agreement for its SARM program with Merck; Merck bought $30M in GtX stock, paid an upfront fee of $40M, and agreed to fund $15M in research over the next three years.  The agreement also included royalties on any product brought to market and around $400M in biodollars.  The companies ended the deal in 2010.In August 2013 GTx announced that enobosarm had failed in two Phase III clinical trials to treat wasting in people with lung cancer. In October 2013 the company laid off around 60% of its 88 person workforce, and Steiner resigned 6 months later.  The company had invested around $35 million in the development of the drug.  The company said at that time that is planned to pursue approval of enobosarm in Europe; the company was also still developing GTx-758 for castration-resistant prostate cancer.In 2016 GTx began Phase II trials, to see if enosobarm might be effective to treat stress uninary incontinence in women.


== References =="
"445","Titan Pharmaceuticals, Inc. is a biopharmaceutical company based in San Francisco, CA developing proprietary therapeutics primarily for the treatment of central nervous system (""CNS"") disorders. In September of 2018, Titan Pharmaceuticals underwent an IPO wherein it raised $9.5 million in gross proceeds. In the same month, it also posted approximately $1.7 million in revenue, in large part drawn from its licensing for its European intellectual property rights for Probuphine to the Italian pharmaceutical company Molteni - a leading European opioid manufacturer and also a subsidiary of the German Pharmaceutical juggernaut Merck Group.Titan's principal asset is Probuphine, a slow-release implant formulation of buprenorphine for the treatment of opioid addiction or chronic pain. FDA Approval was granted on 26 May 2016. It was licensed to Braeburn Pharmaceuticals for marketing and commercialization."
"446","SpartanNash is an American food distributor and grocery store retailer headquartered in Byron Center, Michigan. In terms of revenue, it is the largest food distributor serving military commissaries and exchanges in the United States. The Company’s core businesses include distributing food to military commissaries, independent grocers, and corporate-owned retail stores in 44 states, Europe, Latin America, and the Middle East. SpartanNash operates 142 retail stores located in ND, SD, NE, MN, IA, WI, MI, OH."
"447","Gravity Co., Ltd. (Korean: <U+ADF8><U+B77C><U+BE44><U+D2F0> <U+C8FC><U+C2DD><U+D68C><U+C0AC>) is a South Korean video game corporation primarily known for the development of the massively multiplayer online role-playing game Ragnarok Online."
"448","Qumu Corporation formerly Rimage Corporation is a manufacturer of digital archival technologies used in law enforcement, medical, surveillance, and other industries and businesses. Products include CD-R, DVD-R, and Blu-ray disc duplication and archiving systems.
Founded 1978, Rimage acquired ALF Products and Qumu Corporation. In 2012, Rimage Corporation rebranded as the Qumu Corporation and changed the NASDAQ stock ticker symbol to QUMU. In 2014, Qumu sold the Rimage business to Equus Holdings.


== References =="
"449","Vuzix is an American multinational technology firm headquartered in Rochester, New York. Founded in 1997 by Paul Travers, Vuzix is a supplier of wearable display technology, virtual reality and augmented reality. Vuzix manufactures and sells computer display devices and software.  Vuzix personal display devices  are used for mobile and immersive augmented reality applications, such as 3D gaming, manufacturing training, and military tactical equipment. On January 5, 2015, Intel acquired 30% of Vuzix's stock for $24.8 million."
"450","NICE Ltd. (Hebrew: <U+05E0><U+05D9><U+05D9><U+05E1><U+200E>) is an Israel-based company, specialising in telephone voice recording, data security, and surveillance, as well as systems that analyse this recorded data.
The company serves various industries, such as financial services, telecommunications, healthcare, outsourcers, retail, media, travel, service providers, and utilities.
The company's shares are traded on NASDAQ as well as on the Tel Aviv Stock Exchange; where it is part of the TA-25 Index.Barak Eilam became CEO in April 2014, replacing Zeevi Bregman. Eilam previously headed the company's Americas division. On May 16th 2019, Nice InContact purchased Brand Embassy, a provider of platform for digital customer care. As of December 31, 2016 the company had 4,936 employees."
"451","Actuate Corporation is a publicly traded reporting, analytics and customer communications software company based in San Mateo, California, part of the San Francisco Bay Area and Silicon Valley. The company is known for its creation of the open source Eclipse BIRT business data reporting project launched by the Eclipse Foundation in 2004. Actuate software helps businesses and OEMs worldwide serve their customers within the finance, government, manufacturing, telecommunications, and healthcare industries, among others.
In addition to its headquarters in California, Actuate has offices across the U.S. and in Toronto, London, Paris, Frankfurt, Barcelona, Fribourg, Singapore, Tokyo and Sydney.
Actuate's primary commercial offerings include the BIRT Designers, and the BIRT iHub development and deployment platform for developers; BIRT Analytics for business analysts' own predictive analytics exercises; and the Actuate Customer Communications Suite for processing, transformation and delivery of high-volume content to an organization's own customers.
In 2015, Actuate Corporation was acquired by OpenText for approximately $163 million"
"452","Grupo Financiero Galicia is a financial services holding company based in Buenos Aires, and its banking operations are the fifth largest in Argentina, as well as the largest among all domestically-owned private banks in the country."
"453","Daily Journal Corporation is an American publishing company and technology company headquartered in Los Angeles, California. The Company has offices in Corona, Oakland, Riverside, Sacramento, San Diego, San Francisco, San Jose and Santa Ana in California, and in Denver, Colo., Logan, Utah, and Phoenix, Arizona."
"454","Reliant Bancorp, Inc, formerly Commerce Union Bancshares, is an American financial corporation based in Brentwood, Tennessee, USA. It is listed on the NASDAQ. It controls a subsidiary, Reliant Bank, a commercial bank."
"455","Central European Media Enterprises Ltd. (CME) is a media and entertainment company owned by AT&T's WarnerMedia, which operates television channels in Bulgaria, Czech Republic, Romania, Slovakia and Slovenia. The company is listed on NASDAQ and Prague Stock Exchange under the ticker symbol CETV."
"456","GW Pharmaceuticals is a British biopharmaceutical company known for its multiple sclerosis treatment product nabiximols (brand name, Sativex) which was the first natural cannabis plant derivative to gain market approval in any country.  Another cannabis-based product, Epidiolex, for treatment of epilepsy, was approved for treatment of epilepsy in 2018."
"457","Trivago N.V., marketed with lowercase styling as trivago, is a German transnational technology company specializing in internet-related services and products in the hotel, lodging and meta search fields. The American travel company Expedia Group owns a majority of the company's stock.
Trivago was the first hotel search engine in Germany. It became one of the fastest growing companies in Germany, with profitability doubling from 2008 to 2012."
"458","Reata Pharmaceuticals, Inc. is a pharmaceutical company based in Irving, Texas. Founded in 2002, Reata is primarily focused on investigating experimental oral antioxidative and anti-inflammatory drugs, which dually activate the antioxidative transcription factor Nrf2 and inhibit the pro-inflammatory transcription factor NF-<U+03BA>B."
"459","Fidelity Southern Corporation  is a registered financial holding company headquartered in Atlanta, Georgia. It wholly owns Fidelity Bank and the LionMark Insurance Company. As of December 31, 2014, the Company had $3.1 billion in total assets, $265.0 million in total stockholders' equity, $2.5 billion in deposits and $2.6 billion in total loans.Fidelity Bank provides an array of financial products and services for business and retail customers primarily in the metropolitan Atlanta and northern Florida markets. Various types of loans are also offered by the bank."
"460","MainSource Bank was a community bank located in Greensburg, Indiana. The company was the operating subsidiary of the MainSource Financial Group. It operated banks in Indiana, Illinois, Kentucky, and Ohio.  On May 25, 2018, all MainSource locations closed as part of the acquisition by First Financial Bancorp.  Most locations reopened May 29, 2018 as First Financial Bank locations, but some locations remained closed if there was a redundant location nearby.
The United States Treasury purchased $57 million in shares of MainSource Financial Group under the Troubled Asset Relief Program. The Treasury sold all of its shares in the company in March 2012."
